est_year,season,survey_area,xmin_fit,xmax_fit,xmin_actual,xmax_actual,n,b,confMin,confMax,spectra_type,stdErr,C,area_titles,bot_temp,region,total_weight_lb
1977,Fall,SNE,1,53350.655779128414,0.03949442537340164,53350.655779128414,16348,-1.14460703089617,-1.1496070308961697,-1.13960703089617,bodymass,0.00255102040816321,0.18240397108578155,Southern New England,7.832060588764626,NA,62775715
1977,Spring,GB,1,26369.099754129373,1.0624182932762734,26369.099754129373,10128,-0.8845780673723184,-0.8905780673723183,-0.878578067372318,bodymass,0.00306122448979597,0.05157120179872589,Georges Bank,7.296994403311643,NA,87123260
1977,Spring,GoM,1,24779.792233673736,0.156153224308877,24779.792233673736,12998,-0.9444342738949604,-0.9494342738949602,-0.9394342738949604,bodymass,0.00255102040816321,0.07364266308184823,Gulf of Maine,8.574716312198316,NA,273898347
1977,Spring,MAB,1,24223.471595281153,0.10259749676006846,24223.471595281153,19885,-1.050757158984325,-1.0547571589843252,-1.0467571589843252,bodymass,0.00204081632653061,0.12659465554001165,Mid-Atlantic Bight,8.637509712286755,NA,106364
1977,Spring,SNE,1,16741.86896811501,0.4178808621621731,16741.86896811501,9214,-0.9138296990817056,-0.9208296990817056,-0.9068296990817056,bodymass,0.00357142857142857,0.06568427931751608,Southern New England,7.832060588764626,NA,62775715
1978,Fall,GB,1,19567.40041770616,0.07774084377386267,19567.40041770616,42683,-1.0500918287577925,-1.0530918287577922,-1.0470918287577922,bodymass,0.00153061224489796,0.128301744810028,Georges Bank,8.345213259834495,NA,100037069
1978,Fall,GoM,1,36932.44203722186,0.05407799053788915,36932.44203722186,28850,-0.9487652630028316,-0.9517652630028316,-0.9457652630028316,bodymass,0.00153061224489796,0.07175767927992538,Gulf of Maine,7.24313302666454,NA,317824988
1978,Fall,MAB,1,81599.35440036407,0.1548757726287886,81599.35440036407,9656,-1.191395553644068,-1.197395553644068,-1.1853955536440677,bodymass,0.00306122448979597,0.21621620929295815,Mid-Atlantic Bight,9.98705104304626,NA,61182770
1978,Fall,SNE,1,16556.9845731957,0.04477530764288502,16556.9845731957,26744,-1.0768152414742411,-1.0808152414742414,-1.0728152414742411,bodymass,0.00204081632653061,0.14607889983914069,Southern New England,10.139462104374864,NA,142840827
1978,Spring,GB,1,16359.512702856282,0.3163249227451163,16359.512702856282,9862,-0.8159682703183075,-0.8229682703183074,-0.8089682703183074,bodymass,0.00357142857142857,0.03708047270708538,Georges Bank,8.345213259834495,NA,100037069
1978,Spring,GoM,1,22553.339900898416,0.7098109415556149,22553.339900898416,8163,-0.9100438299449728,-0.9170438299449726,-0.9030438299449726,bodymass,0.00357142857142857,0.06145559917774992,Gulf of Maine,7.24313302666454,NA,317824988
1978,Spring,MAB,1,16204.602996818949,0.18405706707982925,16204.602996818949,26763,-1.0073591909733437,-1.011359190973344,-1.003359190973344,bodymass,0.00204081632653061,0.10689003323513482,Mid-Atlantic Bight,9.98705104304626,NA,61182770
1978,Spring,SNE,1,15291.080414912112,0.22088083074007553,15291.080414912112,20884,-0.9784921053219848,-0.9824921053219846,-0.9744921053219846,bodymass,0.00204081632653061,0.09340521198116548,Southern New England,10.139462104374864,NA,142840827
1979,Fall,GB,1,16087.019982701133,0.04477530764288502,16087.019982701133,37494,-0.8744600167185331,-0.8774600167185331,-0.8714600167185331,bodymass,0.00153061224489796,0.05289231794989352,Georges Bank,7.899638254555583,NA,113012740
1979,Fall,GoM,1,27650.029160761427,0.02873149093435317,27650.029160761427,25368,-0.9345149363863268,-0.9385149363863268,-0.9305149363863268,bodymass,0.00204081632653061,0.06866200087941196,Gulf of Maine,7.023493355815694,NA,372910185
1979,Fall,MAB,1,136272.62670532314,0.1548757726287886,136272.62670532314,42419,-1.2247237241970557,-1.2277237241970556,-1.2217237241970555,bodymass,0.00153061224489796,0.241683645589848,Mid-Atlantic Bight,10.827249079678966,NA,28960657
1979,Fall,SNE,1,20645.42953945469,0.10259749676006846,20645.42953945469,55238,-1.1155515831962026,-1.1185515831962023,-1.1125515831962025,bodymass,0.00153061224489796,0.1692468235999657,Southern New England,9.4172613184217,NA,155807000
1979,Spring,GB,1,21829.58213677949,0.10332291977366956,21829.58213677949,12294,-0.949703130312711,-0.9557031303127111,-0.943703130312711,bodymass,0.00306122448979597,0.07703887417300487,Georges Bank,7.899638254555583,NA,113012740
1979,Spring,GoM,1,24779.792233673736,0.22088083074007553,24779.792233673736,15664,-1.0060857628366535,-1.0110857628366534,-1.0010857628366536,bodymass,0.00255102040816321,0.10190998053808134,Gulf of Maine,7.023493355815694,NA,372910185
1979,Spring,MAB,1,20760.775142791827,0.11958860989804572,20760.775142791827,15190,-1.070256808387362,-1.075256808387362,-1.065256808387362,bodymass,0.00255102040816321,0.13977986659092165,Mid-Atlantic Bight,10.827249079678966,NA,28960657
1979,Spring,SNE,1,101165.79260853164,0.11958860989804572,101165.79260853164,10875,-1.080186465011295,-1.0851864650112946,-1.0751864650112948,bodymass,0.00255102040816321,0.1329537264922571,Southern New England,9.4172613184217,NA,155807000
1980,Fall,GB,1,21696.787983446247,0.1548757726287886,21696.787983446247,27693,-1.15594142548732,-1.15994142548732,-1.15194142548732,bodymass,0.00204081632653061,0.1975828476268293,Georges Bank,7.686518379701109,NA,139172791
1980,Fall,GoM,1,23960.748469815637,0.1830452139612061,23960.748469815637,11846,-0.9145498956247322,-0.9205498956247322,-0.908549895624732,bodymass,0.00306122448979597,0.06250161813550348,Gulf of Maine,7.320415281643302,NA,431264688
1980,Fall,MAB,1,49143.884011129136,0.1548757726287886,49143.884011129136,21655,-1.1957563658995023,-1.199756365899502,-1.191756365899502,bodymass,0.00204081632653061,0.22262101293244324,Mid-Atlantic Bight,9.66314458678254,NA,39936336
1980,Fall,SNE,1,18020.858911787207,0.1548757726287886,18020.858911787207,35530,-1.114284023874374,-1.117284023874374,-1.111284023874374,bodymass,0.00153061224489796,0.169639357314938,Southern New England,9.000286974613859,NA,171241940
1980,Spring,GB,1,65035.356043142965,0.3857854553894314,65035.356043142965,15370,-0.9627337472601544,-0.9667337472601544,-0.9587337472601544,bodymass,0.00204081632653061,0.07287668497472967,Georges Bank,7.686518379701109,NA,139172791
1980,Spring,GoM,1,20524.60487861279,0.156153224308877,20524.60487861279,11086,-0.9699355822961616,-0.9759355822961616,-0.9639355822961612,bodymass,0.00306122448979597,0.08642581359097333,Gulf of Maine,7.320415281643302,NA,431264688
1980,Spring,MAB,1,19543.715162647062,0.11958860989804572,19543.715162647062,39719,-1.1187154484593278,-1.1217154484593277,-1.1157154484593277,bodymass,0.00153061224489796,0.17191446165052163,Mid-Atlantic Bight,9.66314458678254,NA,39936336
1980,Spring,SNE,1,18594.889957599364,0.00422580830779147,18594.889957599364,34551,-0.9739667165337118,-0.9769667165337116,-0.9709667165337116,bodymass,0.00153061224489796,0.0892607200740774,Southern New England,9.000286974613859,NA,171241940
1981,Fall,GB,1,16556.9845731957,0.02414338810073994,16556.9845731957,17051,-0.87313755028036,-0.8781375502803597,-0.8681375502803599,bodymass,0.00255102040816321,0.05221760054702616,Georges Bank,7.168920363185901,NA,111449342
1981,Fall,GoM,1,32088.209364044113,0.3735691319226485,32088.209364044113,7902,-0.9086318970596762,-0.915631897059676,-0.901631897059676,bodymass,0.00357142857142857,0.05780258361820743,Gulf of Maine,7.215746103302907,NA,371209571
